2022-07-13 21:17:01,781 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 21:17:01,781 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 21:17:01,781 | INFO | telegram | gruppo_test 
2022-07-13 21:17:01,781 | INFO | telegram | gruppo_test chat found. 
2022-07-13 21:17:03,571 | INFO | telegram | FXL ROOM VIP Channel 
2022-07-13 21:17:03,571 | INFO | telegram | PriceError WarehouseDeals 
2022-07-13 21:17:03,572 | INFO | telegram | gruppo_test 
2022-07-13 21:17:03,572 | INFO | telegram | channel_test_mio 
2022-07-13 21:17:03,572 | INFO | telegram | channel_test_mio chat found. 
2022-07-13 21:17:03,610 | INFO | telegram | Database connected 
2022-07-13 21:17:03,641 | INFO | telegram | Db name mongodb_pyrogram, collection names ['collezione_get'] 
2022-07-13 21:17:04,298 | INFO | telegram | Attempting to retrieve old previous messages from chat gruppo_test 
2022-07-13 21:17:04,438 | INFO | telegram | Couldn't get all the previous messages from chat gruppo_test 
2022-07-13 21:17:04,438 | INFO | telegram | 'Client' object has no attribute 'to_dict' 
